id,market_index,local_income,population_density,store_size,floor_space,staff_hours,search_ads,social_ads,display_ads,promo_depth,coupon_rate,noise_1,noise_2,noise_3,noise_4,noise_5,noise_6,noise_7,noise_8,weekly_sales
151,0.043,0.266,-0.637,1.291,0.94,1.151,-0.892,-0.803,-0.733,-0.509,-0.615,0.972,1.166,1.021,-0.63,0.858,-1.914,1.151,0.835,58.648
152,0.46,0.526,1.358,2.309,1.833,1.111,0.12,0.328,-0.135,-1.15,-0.723,2.331,-1.539,0.334,-0.532,-1.358,-0.758,0.405,1.845,71.405
153,0.137,0.78,0.296,-0.987,-0.824,-0.774,0.189,0.572,-0.051,-1.986,-1.588,0.097,0.432,-2.084,0.564,-0.336,0.773,0.4,-1.338,61.375
154,2.396,2.276,2.073,1.528,0.412,0.989,1.181,0.491,0.955,-1.959,-1.865,0.258,-0.818,1.83,-0.859,0.449,-1.247,-1.546,-1.302,88.867
155,-1.256,-1.237,-1.501,-0.225,-0.364,-0.594,0.171,0.281,0.372,-0.516,-0.452,1.202,-0.283,-1.511,0.598,1.263,-0.462,1.186,-1.699,38.431
156,-0.262,0.096,0.253,0.308,0.351,0.095,0.441,1.136,0.444,0.381,0.432,-0.417,-1.202,-0.111,1.226,-1.771,-0.155,-1.562,0.977,52.167
157,-0.239,-0.413,0.447,0.837,0.731,0.244,1.06,1.041,0.745,-0.798,-1.111,-0.289,-0.102,-2.02,0.578,1.354,-0.447,-1.348,2.119,61.604
158,-0.158,-0.334,0.959,0.661,0.776,0.322,0.45,0.565,0.887,-1.201,-1.205,-1.066,0.158,-1.297,-1.181,-0.991,0.533,-0.8,-0.62,52.353
159,-0.081,0.442,0.006,-1.6,-0.813,-1.213,1.084,0.272,0.898,-0.532,-0.14,0.155,0.905,0.932,-0.614,0.432,0.245,-1.03,-0.409,41.383
160,-1.118,-0.629,-1.102,0.83,1.25,0.021,1.679,1.197,1.112,-1.861,-1.442,0.832,0.747,1.199,-1.357,0.539,-1.211,1.256,-0.939,59.252
161,2.043,1.873,1.076,-0.263,-0.441,-0.02,1.064,0.275,0.958,0.54,0.489,-1.145,-0.372,1.966,-1.013,-0.1,0.246,0.154,-1.249,72.918
162,-0.312,-0.2,-0.424,-1.318,-1.43,-1.063,-0.342,-0.757,0.109,-0.68,-0.286,-0.373,1.032,-0.571,1.309,0.272,1.111,-0.322,-0.83,41.874
163,0.161,0.427,-0.062,0.578,-0.019,0.282,1.515,1.136,1.065,-0.274,-0.138,0.938,-0.867,0.452,0.213,0.645,-0.426,0.08,-0.692,63.68
164,-2.156,-1.191,-0.872,-1.148,-1.048,-1.457,-0.142,0.095,-0.185,0.745,0.607,-0.43,-0.565,-1.77,-0.658,0.284,-0.26,-1.024,-1.85,31.245
165,-0.342,-0.298,0.116,-0.03,0.146,0.01,1.273,0.456,1.168,0.695,0.332,-0.494,-0.355,1.462,0.704,-0.581,-2.458,0.618,0.231,56.351
166,1.169,0.856,1.01,1.91,1.02,1.332,-0.686,-0.86,-1.115,0.152,0.284,-1.47,1.609,-0.979,-0.733,-0.659,-0.065,1.503,0.839,66.596
167,-1.468,-1.833,-0.148,-0.89,-0.535,-1.33,-1.289,-1.107,-0.927,-0.73,-0.578,0.7,0.685,-0.138,-0.598,-0.366,0.867,-2.208,1.907,28.559
168,-0.232,-0.388,0.757,0.603,0.284,0.518,0.005,0.549,0.132,2.556,2.348,2.889,0.154,-0.141,-1.661,1.676,-1.057,-1.193,0.055,44.779
169,-0.526,-0.434,0.332,1.808,0.937,0.563,-0.522,0.384,-0.134,-0.333,-0.087,-0.022,1.899,-0.158,1.957,-1.13,0.646,-0.166,-0.876,47.872
170,0.051,-0.128,-0.466,-1.547,-1.327,-1.161,0.032,-0.208,0.086,0.157,0.995,-1.271,0.047,0.644,1.527,0.151,0.258,0.658,0.492,39.175
171,0.834,1.22,0.617,0.013,-0.272,-0.223,0.835,0.961,1.243,1.854,1.027,1.439,1.021,0.401,1.66,-0.042,-0.065,-2.127,-0.42,59.341
172,-0.578,-1.143,-0.573,0.577,1.037,0.998,-0.682,-1.138,0.146,-0.619,-0.36,-0.636,1.442,0.881,-1.354,-0.612,-1.213,-0.801,-1.473,41.342
173,-0.815,-0.081,-0.773,1.256,1.637,0.866,-0.074,0.093,0.23,1.385,0.452,-0.674,-1.05,1.526,-0.717,0.966,0.036,1.151,0.109,51.493
174,0.444,0.024,-0.533,-1.035,-1.439,-0.571,-1.316,-1.096,-0.262,-1.364,-0.943,0.755,-1.549,0.714,-0.443,0.261,-0.411,0.109,0.951,35.137
175,0.497,1.056,0.111,-2.419,-1.153,-1.354,-0.503,-1.191,0.322,-1.188,-0.541,0.615,1.177,1.32,-0.198,-1.191,-0.264,1.094,0.545,40.799
176,0.18,0.526,-0.349,-0.303,-0.266,-0.587,-0.486,-0.677,0.375,0.463,0.045,-0.977,2.301,0.022,-0.073,0.003,0.968,-0.22,1.093,43.671
177,1.242,1.871,0.66,0.935,0.547,1.21,-0.85,-0.359,-0.965,-1.771,-1.375,0.355,0.707,0.551,0.488,0.648,-1.833,-0.174,0.434,64.616
178,-0.538,-0.673,-0.39,-0.668,-0.348,-0.415,0.932,1.18,-0.566,-0.147,-0.072,-1.425,1.432,-1.689,0.02,-1.169,-0.012,-1.229,-1.16,47.663
179,2.139,1.711,0.598,-0.408,-0.816,-0.293,1.782,2.313,0.621,-0.777,0.012,-0.039,-1.367,0.581,-0.288,-0.87,1.362,0.255,-0.455,71.469
180,-2.147,-1.38,-2.385,-0.016,0.359,0.288,-1.412,-0.66,-1.469,0.222,-0.177,-0.475,-2.83,-0.44,-0.748,-1.842,0.502,0.594,-1.494,28.717
181,0.139,0.554,0.52,0.049,0.002,-0.158,-2.15,-1.585,-1.081,-1.696,-1.647,0.771,1.112,1.035,-1.691,-1.184,0.38,0.199,-0.491,53.847
182,-0.843,-0.433,-1.158,0.546,0.887,0.536,-0.901,-0.196,-0.228,0.797,0.879,1.095,-1.525,-1.191,-1.235,0.736,-0.825,-0.203,-0.212,42.117
183,-0.796,-0.687,-1.233,-0.24,-0.427,0.636,1.377,0.614,0.54,1.048,1.07,-0.494,0.388,-1.467,0.382,-0.736,0.764,-1.169,-0.161,45.437
184,-1.564,-1.233,-0.863,1.233,1.072,0.97,1.7,1.096,1.317,-0.71,-0.92,0.537,0.245,-1.905,-1.676,1.339,-1.216,-0.362,0.321,54.204
185,-1.746,-1.718,-0.104,-1.013,-0.691,-0.468,0.223,0.569,0.269,-0.623,-0.58,0.531,-0.055,-0.292,1.134,0.392,1.5,-0.839,-0.586,36.832
186,-0.038,0.328,0.023,1.595,0.664,0.93,0.745,0.585,1.52,-0.066,-0.854,-1.408,-1.597,0.899,0.868,1.083,1.673,0.039,-0.075,57.611
187,-0.959,-0.688,-0.908,-0.657,-0.375,-0.68,-0.809,-0.69,-1.086,0.006,0.067,0.932,-0.201,-0.062,0.459,0.819,0.118,-1.485,0.091,40.304
188,1.357,1.014,1.246,-0.479,-0.626,-0.565,0.284,0.515,-0.576,-0.382,-0.443,0.697,0.232,1.341,-2.367,-0.119,1.061,-1.351,0.1,54.073
189,-0.414,-0.449,0.876,0.735,0.403,0.169,-0.751,-0.219,-1.152,-0.928,-0.45,-1.53,-0.08,0.841,-2.147,0.672,0.644,-0.398,-0.637,51.343
190,-1.522,-1.083,-0.676,-0.349,-0.166,-0.064,0.245,0.53,-0.263,0.657,0.516,-0.772,-1.541,2.431,1.363,-0.346,1.007,0.891,0.848,43.449
191,0.124,-0.377,0.401,-1.363,-0.952,-0.557,-1.095,-1.165,-1.254,0.335,0.125,1.334,-0.164,-0.383,0.725,0.154,0.081,1.23,0.1,47.39
192,1.211,1.734,0.939,-0.292,-0.75,0.067,1.088,1.192,0.946,-1.518,-1.288,0.933,-0.4,0.032,1.875,0.326,-0.399,-2.051,-0.581,65.779
193,1.46,1.4,0.76,0.383,0.148,0.006,-1.205,-0.635,-0.556,0.34,0.29,1.348,-0.285,-0.301,-0.41,2.144,1.686,-0.38,-0.067,60.639
194,0.497,0.035,0.922,-0.496,-0.587,-0.063,-0.181,-0.435,-0.384,0.315,0.212,1.122,0.78,-1.323,-2.009,0.53,-0.074,0.205,-0.291,49.051
195,-0.261,-0.293,0.076,0.636,0.458,0.264,0.563,0.667,0.92,-0.927,-1.189,-0.553,-0.207,-0.301,0.74,-0.411,1.154,0.773,0.305,53.705
196,0.759,0.284,0.336,2.322,2.434,1.74,-0.668,-0.386,-1.184,0.027,0.112,0.456,0.765,-1.137,0.829,-1.547,1.08,1.36,-1.464,66.126
197,-0.091,-0.594,-0.166,0.293,0.639,0.165,-0.726,-0.941,0.176,0.7,0.154,-0.739,-0.924,-0.08,-1.377,-0.675,-1.055,1.228,1.319,44.738
198,1.137,0.421,0.327,-0.016,-0.26,-0.212,0.068,0.239,-0.243,1.217,0.909,0.224,0.557,-0.442,-0.764,0.511,0.156,0.476,1.227,57.476
199,0.876,1.415,1.21,0.668,0.587,0.478,-0.798,-0.594,0.539,1.881,2.197,-0.015,0.558,1.083,-0.791,-1.694,-0.215,-2.17,-2.655,55.7
200,1.093,0.949,0.425,1.948,1.842,1.235,1.328,0.997,0.908,-1.824,-1.736,-0.222,-0.621,0.27,1.268,0.804,0.768,-0.514,-0.18,72.523
201,0.555,0.105,0.191,0.984,0.315,0.476,1.473,1.428,1.259,0.35,0.582,0.988,0.325,0.442,0.248,1.058,-1.08,-0.175,0.095,64.432
202,-0.645,-1.018,-0.12,-1.201,-0.836,0.084,0.9,0.674,0.644,0.386,0.455,-0.046,-0.206,-0.553,-0.976,0.129,-0.236,2.917,0.375,41.895
203,0.012,-0.009,-0.452,-0.211,-0.066,-0.403,0.078,-0.12,0.26,2.076,1.531,-0.48,-1.236,-0.22,-1.547,0.6,0.02,0.391,-0.509,54.729
204,-0.651,-0.251,0.45,-0.134,-0.566,0.502,1.365,0.714,1.137,1.522,0.939,0.287,0.843,-1.337,-0.626,1.499,-1.162,-0.764,0.946,48.105
205,1.519,0.83,1.309,-0.424,-0.365,-0.363,-0.25,-0.39,-1.207,0.483,0.634,-0.385,0.268,-0.109,0.391,0.074,0.097,-2.409,-1.96,54.208
206,-0.176,-0.3,0.455,0.268,0.217,0.748,0.469,-0.156,0.878,-0.564,-0.518,3.054,0.152,0.304,-2.197,-0.89,1.355,1.201,-0.012,52.937
207,1.372,0.906,1.578,-0.568,-0.366,-0.5,0.454,1.592,0.361,0.733,0.285,-0.779,0.291,-0.499,2.143,-0.022,0.799,2.21,-0.441,59.667
208,0.479,0.066,0.256,0.04,-0.039,-0.398,0.053,-0.277,-0.071,0.439,0.465,-1.229,-0.659,-1.013,-1.584,-1.246,-2.425,0.67,-0.938,55.545
209,1.095,0.707,0.377,2.337,1.883,1.541,1.217,0.57,1.489,0.08,0.665,0.398,1.001,0.573,2.311,-0.482,-0.256,-1.794,-0.507,74.43
210,-1.157,-1.354,-1.277,1.093,0.218,0.486,0.226,-0.132,-0.013,-0.159,0.261,0.675,-0.039,0.733,-2.528,0.169,0.252,0.478,-1.253,44.481
211,-1.169,-1.899,-0.373,-0.762,-0.904,-0.788,-0.15,-0.308,0.112,-1.759,-1.285,-0.647,-1.392,0.548,-0.112,-0.72,0.683,-1.328,0.773,37.59
212,1.689,1.406,1.673,1.767,2.081,1.324,-1.653,-1.476,-0.669,-0.557,-0.538,-0.94,0.098,1.547,0.026,-0.669,0.355,0.289,0.36,76.544
213,2.849,2.953,2.05,-0.187,-0.378,-0.201,-0.247,-0.474,1.148,0.05,-0.175,2.355,-0.037,-0.429,-0.09,0.595,-2.092,-1.202,0.245,71.351
214,-0.927,-0.776,-1.084,0.282,0.183,0.499,1.452,1.114,0.395,-0.478,-0.479,-0.084,-0.08,0.515,1.467,1.508,1.602,-2.297,0.363,51.063
215,0.569,0.652,0.32,2.43,1.84,1.965,-1.321,-0.439,-1.012,-0.367,-0.087,-0.464,-0.366,-0.869,0.447,-1.34,0.627,1.229,-1.623,65.662
216,-1.604,-1.348,-1.341,2.411,2.302,1.65,0.691,0.224,0.011,-0.693,-0.97,-1.583,-1.014,-0.3,0.909,1.052,-0.858,0.25,1.211,51.329
217,-0.123,0.575,-0.887,-0.539,-0.717,-0.557,0.907,0.767,-0.146,0.96,0.547,-0.313,-1.735,-0.771,0.069,-0.597,-1.154,-0.323,-1.647,44.698
218,0.273,-0.765,0.404,1.478,0.708,-0.01,-0.596,-0.249,-1.334,0.204,0.47,0.556,1.353,-0.994,1.148,0.32,-0.595,0.959,1.366,45.542
219,-0.432,-0.078,0.416,-1.548,-1.448,-1.08,-1.651,-1.009,-1.294,-0.428,-0.23,-2.619,1.527,-0.275,-0.619,0.541,-0.549,-1.098,-0.808,49.22
220,-1.054,-0.61,-0.864,-1.513,-1.263,-1.047,-0.559,-0.565,-1.105,-0.34,-0.715,0.162,-0.595,-0.069,-0.774,-2.235,-0.052,-1.131,-0.107,36.456
