student_id,school_id,year,treated,post,did,score,attendance,baseline_score
S09_017,S09,2025,1,0,0,71.07,0.878,74.59
S09_017,S09,2026,1,1,1,83.3,0.896,74.59
S09_018,S09,2025,1,0,0,69.69,0.882,73.01
S09_018,S09,2026,1,1,1,81.7,0.937,73.01
S09_019,S09,2025,1,0,0,77.06,0.901,76.12
S09_019,S09,2026,1,1,1,86.3,0.919,76.12
S09_020,S09,2025,1,0,0,77.84,0.903,73.95
S09_020,S09,2026,1,1,1,83.48,0.922,73.95
S09_021,S09,2025,1,0,0,68.12,0.845,68.92
S09_021,S09,2026,1,1,1,77.94,0.945,68.92
S09_022,S09,2025,1,0,0,81.33,0.868,78.36
S09_022,S09,2026,1,1,1,84.6,0.894,78.36
S09_023,S09,2025,1,0,0,80.12,0.829,75.74
S09_023,S09,2026,1,1,1,83.85,0.885,75.74
S09_024,S09,2025,1,0,0,71.38,0.907,68.79
S09_024,S09,2026,1,1,1,79.1,0.897,68.79
S09_025,S09,2025,1,0,0,70.74,0.86,71.91
S09_025,S09,2026,1,1,1,80.22,0.882,71.91
S09_026,S09,2025,1,0,0,71.67,0.916,79.2
S09_026,S09,2026,1,1,1,77.58,0.841,79.2
S09_027,S09,2025,1,0,0,74.12,0.86,73.22
S09_027,S09,2026,1,1,1,80.53,0.885,73.22
S09_028,S09,2025,1,0,0,74.25,0.892,74.08
S09_028,S09,2026,1,1,1,81.86,0.897,74.08
S10_001,S10,2025,1,0,0,72.36,0.913,71.13
S10_001,S10,2026,1,1,1,76.18,0.93,71.13
S10_002,S10,2025,1,0,0,72.91,0.861,74.17
S10_002,S10,2026,1,1,1,84.44,0.945,74.17
S10_003,S10,2025,1,0,0,78.1,0.877,75.17
S10_003,S10,2026,1,1,1,84.34,0.912,75.17
S10_004,S10,2025,1,0,0,72.3,0.873,68.56
S10_004,S10,2026,1,1,1,75.25,0.904,68.56
S10_005,S10,2025,1,0,0,77.32,0.933,72.89
S10_005,S10,2026,1,1,1,80.75,0.877,72.89
S10_006,S10,2025,1,0,0,67.8,0.904,70.95
S10_006,S10,2026,1,1,1,78.41,0.976,70.95
S10_007,S10,2025,1,0,0,75.06,0.98,71.58
S10_007,S10,2026,1,1,1,81.02,0.863,71.58
S10_008,S10,2025,1,0,0,75.65,0.899,72.56
S10_008,S10,2026,1,1,1,79.4,0.914,72.56
S10_009,S10,2025,1,0,0,71.03,0.904,71.19
S10_009,S10,2026,1,1,1,81.53,0.914,71.19
S10_010,S10,2025,1,0,0,72.99,0.877,73.02
S10_010,S10,2026,1,1,1,89.33,0.932,73.02
S10_011,S10,2025,1,0,0,80.35,0.929,75.34
S10_011,S10,2026,1,1,1,85.21,0.889,75.34
S10_012,S10,2025,1,0,0,77.22,0.878,72.47
S10_012,S10,2026,1,1,1,83.29,0.912,72.47
S10_013,S10,2025,1,0,0,70.96,0.906,73.69
S10_013,S10,2026,1,1,1,77.42,0.872,73.69
S10_014,S10,2025,1,0,0,72.61,0.878,72.82
S10_014,S10,2026,1,1,1,80.32,0.898,72.82
S10_015,S10,2025,1,0,0,79.62,0.898,73.64
S10_015,S10,2026,1,1,1,87.3,0.924,73.64
S10_016,S10,2025,1,0,0,74.26,0.874,70.63
S10_016,S10,2026,1,1,1,81.21,0.871,70.63
S10_017,S10,2025,1,0,0,74.9,0.976,71.34
S10_017,S10,2026,1,1,1,81.57,0.864,71.34
S10_018,S10,2025,1,0,0,77.03,0.871,76.46
S10_018,S10,2026,1,1,1,83.57,0.89,76.46
S10_019,S10,2025,1,0,0,82.42,0.857,74.89
S10_019,S10,2026,1,1,1,87.0,0.91,74.89
S10_020,S10,2025,1,0,0,72.97,0.904,76.31
S10_020,S10,2026,1,1,1,85.39,0.925,76.31
S10_021,S10,2025,1,0,0,71.32,0.9,71.68
S10_021,S10,2026,1,1,1,80.8,0.904,71.68
S10_022,S10,2025,1,0,0,78.68,0.906,72.31
S10_022,S10,2026,1,1,1,82.17,0.978,72.31
S10_023,S10,2025,1,0,0,77.26,0.911,80.46
S10_023,S10,2026,1,1,1,87.24,0.916,80.46
S10_024,S10,2025,1,0,0,72.01,0.9,68.5
S10_024,S10,2026,1,1,1,82.6,0.894,68.5
S10_025,S10,2025,1,0,0,78.31,0.858,74.7
S10_025,S10,2026,1,1,1,83.54,0.915,74.7
S10_026,S10,2025,1,0,0,71.72,0.911,72.96
S10_026,S10,2026,1,1,1,84.52,0.915,72.96
S10_027,S10,2025,1,0,0,71.25,0.902,72.46
S10_027,S10,2026,1,1,1,82.34,0.882,72.46
S10_028,S10,2025,1,0,0,80.43,0.937,76.99
S10_028,S10,2026,1,1,1,89.04,0.901,76.99
S11_001,S11,2025,1,0,0,74.89,0.872,76.86
S11_001,S11,2026,1,1,1,81.67,0.908,76.86
S11_002,S11,2025,1,0,0,77.65,0.897,77.78
S11_002,S11,2026,1,1,1,82.37,0.942,77.78
S11_003,S11,2025,1,0,0,75.64,0.897,78.88
S11_003,S11,2026,1,1,1,85.88,0.912,78.88
S11_004,S11,2025,1,0,0,75.04,0.9,78.52
S11_004,S11,2026,1,1,1,82.92,0.893,78.52
S11_005,S11,2025,1,0,0,79.3,0.844,81.41
S11_005,S11,2026,1,1,1,84.77,0.898,81.41
S11_006,S11,2025,1,0,0,72.05,0.842,78.8
S11_006,S11,2026,1,1,1,80.59,0.968,78.8
S11_007,S11,2025,1,0,0,82.07,0.95,84.15
S11_007,S11,2026,1,1,1,85.9,0.928,84.15
S11_008,S11,2025,1,0,0,82.8,0.853,84.56
S11_008,S11,2026,1,1,1,84.51,0.882,84.56
S11_009,S11,2025,1,0,0,76.38,0.88,80.81
S11_009,S11,2026,1,1,1,83.1,0.956,80.81
S11_010,S11,2025,1,0,0,75.47,0.915,77.28
S11_010,S11,2026,1,1,1,81.43,0.912,77.28
S11_011,S11,2025,1,0,0,79.44,0.86,80.76
S11_011,S11,2026,1,1,1,81.3,0.924,80.76
S11_012,S11,2025,1,0,0,72.97,0.826,76.49
S11_012,S11,2026,1,1,1,78.81,0.869,76.49
S11_013,S11,2025,1,0,0,76.55,0.949,78.67
S11_013,S11,2026,1,1,1,79.12,0.887,78.67
S11_014,S11,2025,1,0,0,71.1,0.912,75.65
S11_014,S11,2026,1,1,1,79.11,0.963,75.65
S11_015,S11,2025,1,0,0,75.59,0.883,82.02
S11_015,S11,2026,1,1,1,85.95,0.897,82.02
S11_016,S11,2025,1,0,0,75.34,0.87,79.56
S11_016,S11,2026,1,1,1,82.86,0.926,79.56
S11_017,S11,2025,1,0,0,77.71,0.869,78.51
S11_017,S11,2026,1,1,1,80.73,0.929,78.51
S11_018,S11,2025,1,0,0,77.1,0.814,76.9
S11_018,S11,2026,1,1,1,77.94,0.879,76.9
S11_019,S11,2025,1,0,0,82.71,0.852,86.16
S11_019,S11,2026,1,1,1,88.39,0.909,86.16
S11_020,S11,2025,1,0,0,76.03,0.851,82.51
S11_020,S11,2026,1,1,1,88.25,0.918,82.51
S11_021,S11,2025,1,0,0,77.42,0.921,82.4
S11_021,S11,2026,1,1,1,86.03,0.903,82.4
S11_022,S11,2025,1,0,0,78.14,0.947,85.05
S11_022,S11,2026,1,1,1,88.23,0.861,85.05
S11_023,S11,2025,1,0,0,73.51,0.839,78.16
S11_023,S11,2026,1,1,1,76.52,0.897,78.16
S11_024,S11,2025,1,0,0,79.43,0.917,79.82
S11_024,S11,2026,1,1,1,82.12,0.93,79.82
S11_025,S11,2025,1,0,0,74.41,0.855,78.39
S11_025,S11,2026,1,1,1,85.07,0.99,78.39
S11_026,S11,2025,1,0,0,81.72,0.878,85.34
S11_026,S11,2026,1,1,1,88.37,0.883,85.34
S11_027,S11,2025,1,0,0,73.13,0.951,77.32
S11_027,S11,2026,1,1,1,81.94,0.946,77.32
S11_028,S11,2025,1,0,0,76.39,0.883,78.78
S11_028,S11,2026,1,1,1,86.12,0.961,78.78
S12_001,S12,2025,1,0,0,70.1,0.877,68.24
S12_001,S12,2026,1,1,1,74.22,0.914,68.24
S12_002,S12,2025,1,0,0,63.86,0.927,70.7
S12_002,S12,2026,1,1,1,72.42,0.972,70.7
S12_003,S12,2025,1,0,0,81.33,0.873,77.96
S12_003,S12,2026,1,1,1,89.88,0.818,77.96
S12_004,S12,2025,1,0,0,81.25,0.877,76.4
S12_004,S12,2026,1,1,1,82.96,0.898,76.4
S12_005,S12,2025,1,0,0,80.9,0.873,79.3
S12_005,S12,2026,1,1,1,95.5,0.896,79.3
S12_006,S12,2025,1,0,0,78.88,0.871,77.43
S12_006,S12,2026,1,1,1,83.45,0.968,77.43
S12_007,S12,2025,1,0,0,77.62,0.848,76.78
S12_007,S12,2026,1,1,1,88.38,0.925,76.78
S12_008,S12,2025,1,0,0,77.95,0.852,78.8
S12_008,S12,2026,1,1,1,86.62,0.929,78.8
S12_009,S12,2025,1,0,0,74.98,0.899,74.68
S12_009,S12,2026,1,1,1,83.43,0.928,74.68
S12_010,S12,2025,1,0,0,74.28,0.871,74.06
S12_010,S12,2026,1,1,1,78.47,0.924,74.06
S12_011,S12,2025,1,0,0,72.5,0.932,72.18
S12_011,S12,2026,1,1,1,79.71,0.921,72.18
S12_012,S12,2025,1,0,0,76.1,0.877,74.25
S12_012,S12,2026,1,1,1,83.3,0.945,74.25
S12_013,S12,2025,1,0,0,79.21,0.847,78.57
S12_013,S12,2026,1,1,1,89.77,0.941,78.57
S12_014,S12,2025,1,0,0,78.8,0.887,73.62
S12_014,S12,2026,1,1,1,84.61,0.93,73.62
S12_015,S12,2025,1,0,0,70.69,0.861,72.18
S12_015,S12,2026,1,1,1,83.74,0.99,72.18
S12_016,S12,2025,1,0,0,68.52,0.923,71.94
S12_016,S12,2026,1,1,1,73.95,0.866,71.94
S12_017,S12,2025,1,0,0,70.62,0.875,73.71
S12_017,S12,2026,1,1,1,83.33,0.854,73.71
S12_018,S12,2025,1,0,0,73.23,0.9,75.29
S12_018,S12,2026,1,1,1,80.46,0.887,75.29
S12_019,S12,2025,1,0,0,72.59,0.872,71.64
S12_019,S12,2026,1,1,1,79.3,0.915,71.64
S12_020,S12,2025,1,0,0,76.15,0.904,76.77
S12_020,S12,2026,1,1,1,81.75,0.889,76.77
S12_021,S12,2025,1,0,0,75.2,0.909,74.98
S12_021,S12,2026,1,1,1,84.36,0.893,74.98
S12_022,S12,2025,1,0,0,74.39,0.906,70.07
S12_022,S12,2026,1,1,1,79.44,0.855,70.07
S12_023,S12,2025,1,0,0,70.59,0.939,73.78
S12_023,S12,2026,1,1,1,78.41,0.857,73.78
S12_024,S12,2025,1,0,0,73.74,0.894,71.13
S12_024,S12,2026,1,1,1,86.06,0.99,71.13
S12_025,S12,2025,1,0,0,78.41,0.934,77.77
S12_025,S12,2026,1,1,1,85.62,0.935,77.77
S12_026,S12,2025,1,0,0,74.92,0.9,73.53
S12_026,S12,2026,1,1,1,81.43,0.895,73.53
S12_027,S12,2025,1,0,0,72.07,0.898,77.81
S12_027,S12,2026,1,1,1,78.86,0.868,77.81
S12_028,S12,2025,1,0,0,77.64,0.886,75.82
S12_028,S12,2026,1,1,1,82.02,0.948,75.82
